perf_date|perf_time|title|venue|perf_link|category|rating|website|event|description|performance_data|image_url|show_id|perf_id
16/08/2019|12:00|(in)decision|11: Nordic Studio Theatre|https://tickets.fringetheatre.ca/listprices.php?performanceId=601:22472|Comedy|Parental Guidance (14+)|tamlynnbryson.com|Lottery|"Tess has never struggled with decisions... until her boyfriend unexpectedly proposes. Ten seconds inside her brain becomes a frantic journey to determine one life-changing word: yes or no. ""Not a show to be missed"" (Apartment 613), ""Majestic comic timing"" (Onstage Ottawa), ""Bryson is a delight to watch"" (NOW Toronto)."|Warnings: Eating Disorder, Body Image, Sexual Content, Adult Language,Duration: 60 minutes|https://eventotron.imgix.net/05-13-2019-222353-8944.jpg|3142|22472
17/08/2019|18:30|(in)decision|11: Nordic Studio Theatre|https://tickets.fringetheatre.ca/listprices.php?performanceId=601:22473|Comedy|Parental Guidance (14+)|tamlynnbryson.com|Lottery|"Tess has never struggled with decisions... until her boyfriend unexpectedly proposes. Ten seconds inside her brain becomes a frantic journey to determine one life-changing word: yes or no. ""Not a show to be missed"" (Apartment 613), ""Majestic comic timing"" (Onstage Ottawa), ""Bryson is a delight to watch"" (NOW Toronto)."|Warnings: Eating Disorder, Body Image, Sexual Content, Adult Language,Duration: 60 minutes|https://eventotron.imgix.net/05-13-2019-222353-8944.jpg|3142|22473
19/08/2019|22:00|(in)decision|11: Nordic Studio Theatre|https://tickets.fringetheatre.ca/listprices.php?performanceId=601:22474|Comedy|Parental Guidance (14+)|tamlynnbryson.com|Lottery|"Tess has never struggled with decisions... until her boyfriend unexpectedly proposes. Ten seconds inside her brain becomes a frantic journey to determine one life-changing word: yes or no. ""Not a show to be missed"" (Apartment 613), ""Majestic comic timing"" (Onstage Ottawa), ""Bryson is a delight to watch"" (NOW Toronto)."|Warnings: Eating Disorder, Body Image, Sexual Content, Adult Language,Duration: 60 minutes|https://eventotron.imgix.net/05-13-2019-222353-8944.jpg|3142|22474
21/08/2019|13:45|(in)decision|11: Nordic Studio Theatre|https://tickets.fringetheatre.ca/listprices.php?performanceId=601:22475|Comedy|Parental Guidance (14+)|tamlynnbryson.com|Lottery|"Tess has never struggled with decisions... until her boyfriend unexpectedly proposes. Ten seconds inside her brain becomes a frantic journey to determine one life-changing word: yes or no. ""Not a show to be missed"" (Apartment 613), ""Majestic comic timing"" (Onstage Ottawa), ""Bryson is a delight to watch"" (NOW Toronto)."|Warnings: Eating Disorder, Body Image, Sexual Content, Adult Language,Duration: 60 minutes|https://eventotron.imgix.net/05-13-2019-222353-8944.jpg|3142|22475
22/08/2019|19:00|(in)decision|11: Nordic Studio Theatre|https://tickets.fringetheatre.ca/listprices.php?performanceId=601:22476|Comedy|Parental Guidance (14+)|tamlynnbryson.com|Lottery|"Tess has never struggled with decisions... until her boyfriend unexpectedly proposes. Ten seconds inside her brain becomes a frantic journey to determine one life-changing word: yes or no. ""Not a show to be missed"" (Apartment 613), ""Majestic comic timing"" (Onstage Ottawa), ""Bryson is a delight to watch"" (NOW Toronto)."|Warnings: Eating Disorder, Body Image, Sexual Content, Adult Language,Duration: 60 minutes|https://eventotron.imgix.net/05-13-2019-222353-8944.jpg|3142|22476
25/08/2019|16:00|(in)decision|11: Nordic Studio Theatre|https://tickets.fringetheatre.ca/listprices.php?performanceId=601:22477|Comedy|Parental Guidance (14+)|tamlynnbryson.com|Lottery|"Tess has never struggled with decisions... until her boyfriend unexpectedly proposes. Ten seconds inside her brain becomes a frantic journey to determine one life-changing word: yes or no. ""Not a show to be missed"" (Apartment 613), ""Majestic comic timing"" (Onstage Ottawa), ""Bryson is a delight to watch"" (NOW Toronto)."|Warnings: Eating Disorder, Body Image, Sexual Content, Adult Language,Duration: 60 minutes|https://eventotron.imgix.net/05-13-2019-222353-8944.jpg|3142|22477
16/08/2019|12:15|.Gabriel|1: ATB Westbury Theatre|https://tickets.fringetheatre.ca/listprices.php?performanceId=601:21935|Music/Musical Theatre|Parental Guidance (14+)|www.eurotrumpet.com|Lottery|The tragic story of Principal as she manoeuvres through an increasingly digital world. Bombarded by her memories, Gabriel (performed by a trumpeter) appears in her hour of need. An ensemble of four professional musicians provides the soundscape for Principal's fall from grace. An opera in two acts.|Warnings: Death - Suicide,Duration: 60 minutes|https://eventotron.imgix.net/05-13-2019-075931-9554.jpg|3066|21935
17/08/2019|22:45|.Gabriel|1: ATB Westbury Theatre|https://tickets.fringetheatre.ca/listprices.php?performanceId=601:21936|Music/Musical Theatre|Parental Guidance (14+)|www.eurotrumpet.com|Lottery|The tragic story of Principal as she manoeuvres through an increasingly digital world. Bombarded by her memories, Gabriel (performed by a trumpeter) appears in her hour of need. An ensemble of four professional musicians provides the soundscape for Principal's fall from grace. An opera in two acts.|Warnings: Death - Suicide,Duration: 60 minutes|https://eventotron.imgix.net/05-13-2019-075931-9554.jpg|3066|21936
20/08/2019|14:15|.Gabriel|1: ATB Westbury Theatre|https://tickets.fringetheatre.ca/listprices.php?performanceId=601:21937|Music/Musical Theatre|Parental Guidance (14+)|www.eurotrumpet.com|Lottery|The tragic story of Principal as she manoeuvres through an increasingly digital world. Bombarded by her memories, Gabriel (performed by a trumpeter) appears in her hour of need. An ensemble of four professional musicians provides the soundscape for Principal's fall from grace. An opera in two acts.|Warnings: Death - Suicide,Duration: 60 minutes|https://eventotron.imgix.net/05-13-2019-075931-9554.jpg|3066|21937
21/08/2019|19:15|.Gabriel|1: ATB Westbury Theatre|https://tickets.fringetheatre.ca/listprices.php?performanceId=601:21938|Music/Musical Theatre|Parental Guidance (14+)|www.eurotrumpet.com|Lottery|The tragic story of Principal as she manoeuvres through an increasingly digital world. Bombarded by her memories, Gabriel (performed by a trumpeter) appears in her hour of need. An ensemble of four professional musicians provides the soundscape for Principal's fall from grace. An opera in two acts.|Warnings: Death - Suicide,Duration: 60 minutes|https://eventotron.imgix.net/05-13-2019-075931-9554.jpg|3066|21938
22/08/2019|16:45|.Gabriel|1: ATB Westbury Theatre|https://tickets.fringetheatre.ca/listprices.php?performanceId=601:21939|Music/Musical Theatre|Parental Guidance (14+)|www.eurotrumpet.com|Lottery|The tragic story of Principal as she manoeuvres through an increasingly digital world. Bombarded by her memories, Gabriel (performed by a trumpeter) appears in her hour of need. An ensemble of four professional musicians provides the soundscape for Principal's fall from grace. An opera in two acts.|Warnings: Death - Suicide,Duration: 60 minutes|https://eventotron.imgix.net/05-13-2019-075931-9554.jpg|3066|21939
